1,20,8,2020,14404,29,1407,,0,GAUCHO-SOFT BRONCE,KALBVELOUR TOFFEE,FROTTEE OFFWHITE,DELIKA OFFWHITE,HEELGRIP OFFWHITE,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,WILHELM SCHAUM 4 OFFWHITE,IBITECH 57 STROBELSTOFF,VA 12ML CAFFEE,YL-264 NEW MORO,RX-55_15_100 TOFFEE_BLAU_ROT,SERAFIL 0287-30,SERAFIL 0287-60,SERAFIL 0971-30,SERAFIL 0971-60,SERAFIL 1000-60,SERAFIL 2000-60,SERAFIL 1000-30,,
1,,,,31238,14,1407,397,120,0,0,11.376,4.92,1.56,1.8,240,27.6,276,774,558,294,780,210,,,,,,,
1,,,,40617,18,1407,,0,NAPPA-SOFT SCHWARAZ,GLENKID SCHWARZ,AIRTEX SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,5050_12 00099,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,,,,
1,,,,40617,18,1407,,0,,0,0.088,0.03,0.035,0.7,8.25,7.1,13,,,,,,,,,,,,
1,,,,40617,18,1407,409,120,0,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,18,1407,421,120,0,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,18,1407,433,120,0,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,18,1407,445,120,0,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,18,1407,457,120,0,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,85,1407,,0,S-LACK SCHWARZ,BORASNAKE ROT-MULTI,AIRTEX SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,5050_12 00099,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,,,,
1,,,,40617,85,1407,,0,0.094,0,0.088,0.03,0.035,0.7,8.25,7.1,13,,,,,,,,,,,,
1,,,,40617,85,1407,469,120,11.28,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40617,85,1407,481,120,11.28,0,10.56,3.6,4.2,84,990,852,1560,,,,,,,,,,,,
1,,,,40621,71,1407,,0,NAPPA-SOFT SCHWARZ,AIRTEX SCHWARZ,MICROLINE SCHWARZ,HEELGRIP SCHWARZ,SEL LAT 6 ROHWEISS,IBITECH 57 STROBELSTOFF,17437_090 SCHWARZ,FORELLG 7_SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,,
1,,,,40621,71,1407,,0,,0.062,0.054,0.019,0.011,0.035,0.27,3,7.5,10.75,13,,,,,,,,,,
1,,,,40621,71,1407,493,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,1290,1560,,,,,,,,,,
1,,,,40621,71,1407,505,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,1290,1560,,,,,,,,,,
1,,,,40621,71,1407,517,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,1290,1560,,,,,,,,,,
1,,,,40621,81,1407,,0,NAPPA-SOFT SCHWARZ,AIRTEX SCHWARZ,MICROLINE SCHWARZ,HEELGRIP SCHWARZ,SEL LAT 6 ROHWEISS,IBITECH 57 STROBELSTOFF,17437_090 SCHWARZ,FORELLG 7_SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,,
1,,,,40621,81,1407,,0,,0.062,0.054,0.019,0.011,0.035,0.27,3,7.5,10.75,13,,,,,,,,,,
1,,,,40621,81,1407,529,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,1290,1560,,,,,,,,,,
1,,,,40621,81,1407,541,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,1290,1560,,,,,,,,,,
1,,,,40621,82,1407,,0,GAUCHO-SOFT MORO-METALLIC,AIRTEX SCHWARZ,MICROLINE SCHWARZ,HEELGRIP SCHWARZ,SEL LAT 6 ROHWEISS,IBITECH 57 STROBELSTOFF,20-GZ-01_90 MORO_BRONCE,FORELLG 7_2216,SERAFIL 1002-30,SERAFIL 1002-60,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,
1,,,,40621,81,1407,,0,,0.062,0.054,0.019,0.011,0.035,0.27,3,7.5,4.8,5.95,13,,,,,,,,,
1,,,,40621,81,1407,553,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,576,714,1560,,,,,,,,,
1,,,,40621,81,1407,565,120,0,7.44,6.48,2.28,1.32,4.2,32.4,360,900,576,714,1560,,,,,,,,,
1,,,,40623,66,1407,,0,NAPPA-SOFT SCHWARZ,SAMTCHEVRO SCHWARZ,FOSSI SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,AQUILINE 11,5050_14 00099,C-1310 SCHWARZ-LACK,17437_30 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,
1,,,,40623,66,1407,,0,,,0.109,0.015,0.035,0.012,0.56,2,0.14,7,5.85,13,,,,,,,,,
1,,,,40623,66,1407,577,120,0,0,13.08,1.8,4.2,1.44,67.2,240,16.8,840,702,1560,,,,,,,,,
1,,,,40623,66,1407,589,120,0,0,13.08,1.8,4.2,1.44,67.2,240,16.8,840,702,1560,,,,,,,,,
1,,,,40623,66,1407,601,120,0,0,13.08,1.8,4.2,1.44,67.2,240,16.8,840,702,1560,,,,,,,,,
1,,,,40623,89,1407,,0,VERNICE SCHWARZ,FOSSI SCHWARZ,HEELGRIP SCHWARZ,IBITECH 57 STROBELSTOFF,AQUILINE 11,5050_14 00099,C-1310 SCHWARZ-LACK,17437_30 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,,,,,
1,,,,40623,89,1407,,0,,0.109,0.015,0.035,0.012,0.56,2,0.14,7,5.85,13,,,,,,,,,,
1,,,,40623,89,1407,613,120,0,13.08,1.8,4.2,1.44,67.2,240,16.8,840,702,1560,,,,,,,,,,
1,,,,40623,89,1407,625,120,0,13.08,1.8,4.2,1.44,67.2,240,16.8,840,702,1560,,,,,,,,,,
1,,,,43303,74,1407,,0,GAUCHO-SOFT SCHWARZ,SPACEKID SCHWARZ,SAMTCHEVRO SCHWARZ,MICROLINE SCHWARZ,DELIKA SCHWARZ,HEELGRIP SCHWARZ,CAPAMA 103,PU-SCHAUM 6 ANTHRAZIT,SEL LAT 4 ROHWEISS,IBITECH 57 STROBELSTOFF,RV 11 12 WXY5K SCHWARZ_SCHWARZ_SCHWARZ,RX-55_15_110 SCHWARZ,SERAFIL 4000-30,SERAFIL 4000-60,SERAFIL 1000-30,,,,,,
1,,,,43303,74,1407,,0,,0,0,0.115,0.059,0.02,0.0183,0.018,0.006,0.035,2,1,13.75,20.35,13,,,,,,
